1	Who	who	P	WP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	k1	_	_
19	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-their2|chunkType-child|stype-|voicetype-	15	child	_	_

1	During	during	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	8	k7t	_	_
2	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-During|chunkType-child|stype-|voicetype-	1	child	_	_
3	past	past	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-During|chunkType-child|stype-|voicetype-	1	child	_	_
4	one	one	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-During|chunkType-child|stype-|voicetype-	1	child	_	_
5	month	month	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-During|chunkType-child|stype-|voicetype-	1	child	_	_
6	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	8	k4	_	_
7	Commission	commission	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	6	child	_	_
8	has	have	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
9	recieved	'	vbn	VBN	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-has|chunkType-child|stype-|voicetype-	8	child	_	_
10	a	a	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	8	k2	_	_
11	number	number	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-a|chunkType-child|stype-|voicetype-	10	child	_	_
12	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-a|chunkType-child|stype-|voicetype-	10	child	_	_
13	such	such	det	JJ	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-a|chunkType-child|stype-|voicetype-	10	child	_	_
14	complaints	complaint	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-a|chunkType-child|stype-|voicetype-	10	child	_	_
15	from	from	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	8	k5	_	_
16	women	woman	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	15	child	_	_
17	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	15	child	_	_
18	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	22	k7	_	_
19	which	which	det	WDT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	18	child	_	_
20	Babula	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-NP7|chunkType-head|stype-|voicetype-	22	k2	_	_
21	Gaur	gaur	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-Babula|chunkType-child|stype-|voicetype-	20	child	_	_
22	has	have	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	10	nmod__relc	_	_
23	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-has2|chunkType-child|stype-|voicetype-	22	child	_	_
24	accused	accuse	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-has2|chunkType-child|stype-|voicetype-	22	child	_	_
25	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP4|chunkType-head|stype-|voicetype-	22	r6	_	_
26	sexual	sexual	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-of2|chunkType-child|stype-|voicetype-	25	child	_	_
27	harrasement	'	nn	NN	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-of2|chunkType-child|stype-|voicetype-	25	child	_	_
28	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-of2|chunkType-child|stype-|voicetype-	25	child	_	_

1	All	all	pdet	PDT	cat-pdet|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k2	_	_
2	these	these	det	DT	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-All|chunkType-child|stype-|voicetype-	1	child	_	_
3	complaint	complaint	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-All|chunkType-child|stype-|voicetype-	1	child	_	_
4	letters	letter	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-All|chunkType-child|stype-|voicetype-	1	child	_	_
5	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
6	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	5	child	_	_
7	sent	send	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	5	child	_	_
8	from	from	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	5	k5	_	_
9	Delhi	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-from|chunkType-child|stype-|voicetype-	8	child	_	_
10	itself	itself	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	8	nmod__emph	_	_
11	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-itself|chunkType-child|stype-|voicetype-	10	child	_	_

1	However	however	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	5	sent-adv	_	_
2	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-However|chunkType-child|stype-|voicetype-	1	child	_	_
3	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k1	_	_
4	complainants	complainant	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	3	child	_	_
5	would	would	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
6	be	be	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-would|chunkType-child|stype-|voicetype-	5	child	_	_
7	disheartened	dishearten	v	JJ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADJP|chunkType-head|stype-|voicetype-	5	k1s	_	_
8	to	to	p	TO	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	5	vmod	_	_
9	learn	learn	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-to|chunkType-child|stype-|voicetype-	8	child	_	_
10	that	that	Comp	CC	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	8	k2	_	_
11	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	13	k1	_	_
12	Commission	commission	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	11	child	_	_
13	would	would	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	10	ccof	_	_
14	not	not	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-would2|chunkType-child|stype-|voicetype-	13	child	_	_
15	act	act	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-would2|chunkType-child|stype-|voicetype-	13	child	_	_
16	on	on	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	10	k7	_	_
17	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-on|chunkType-child|stype-|voicetype-	16	child	_	_
18	basis	basis	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-on|chunkType-child|stype-|voicetype-	16	child	_	_
19	of	of	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	16	r6	_	_
20	these	these	det	DT	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	19	child	_	_
21	letters	letter	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	19	child	_	_
22	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-of|chunkType-child|stype-|voicetype-	19	child	_	_

1	The	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	3	k1	_	_
2	Commission	commission	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
3	has	have	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
4	said	say	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-has|chunkType-child|stype-|voicetype-	3	child	_	_
5	that	that	Comp	CC	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	3	k2	_	_
6	it	it	P	PRP	cat-P|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	7	k1	_	_
7	can	can	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	5	ccof	_	_
8	not	not	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-can|chunkType-child|stype-|voicetype-	7	child	_	_
9	act	act	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-can|chunkType-child|stype-|voicetype-	7	child	_	_
10	on	on	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	7	k7	_	_
11	accusations	accusation	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-on|chunkType-child|stype-|voicetype-	10	child	_	_
12	made	make	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	10	nmod	_	_
13	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP2|chunkType-head|stype-|voicetype-	12	k7	_	_
14	letters	letter	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	13	child	_	_
15	without	without	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP3|chunkType-head|stype-|voicetype-	12	ras-neg	_	_
16	any	any	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-without|chunkType-child|stype-|voicetype-	15	child	_	_
17	names	name	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-without|chunkType-child|stype-|voicetype-	15	child	_	_
18	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-without|chunkType-child|stype-|voicetype-	15	child	_	_
19	addresses	address	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-without|chunkType-child|stype-|voicetype-	15	child	_	_
20	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-without|chunkType-child|stype-|voicetype-	15	child	_	_

1	And	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	0	root	_	_
2	if	if	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP2|chunkType-head|stype-|voicetype-	19	vmod	_	_
3	these	these	det	DT	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	5	k2	_	_
4	women	woman	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-these|chunkType-child|stype-|voicetype-	3	child	_	_
5	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	2	ccof	_	_
6	really	really	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	5	child	_	_
7	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	5	child	_	_
8	harrased	'	vbn	VBN	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-have|chunkType-child|stype-|voicetype-	5	child	_	_
9	by	by	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	5	k1	_	_
10	Gaur	gaur	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	9	child	_	_
11	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-by|chunkType-child|stype-|voicetype-	9	child	_	_
12	then	then	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	1	ccof	_	_
13	why	why	D	WRB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP2|chunkType-head|stype-|voicetype-	19	rh	_	_
14	have	have	v	VBP	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	19	fragof	_	_
15	their	he	det	PRP$	cat-det|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	19	k2	_	_
16	names	name	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	15	child	_	_
17	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	15	child	_	_
18	addresses	address	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-their|chunkType-child|stype-|voicetype-	15	child	_	_
19	been	be	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	12	ccof	_	_
20	kept	keep	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-been2|chunkType-child|stype-|voicetype-	19	child	_	_
21	hidden	hide	v	VBN	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADJP|chunkType-head|stype-|voicetype-	19	k2s	_	_
22	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-hidden|chunkType-child|stype-|voicetype-	21	child	_	_

1	The	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	7	k1	_	_
2	Commission	commission	n	NNP	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
3	's	'	pos	POS	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
4	head	head	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
5	Girija	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
6	Vyas	'	nnp	NNP	cat-|gen-|num-|pers-|case-|vib-|tam-|chunkId-The|chunkType-child|stype-|voicetype-	1	child	_	_
7	says	say	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
8	that	that	Comp	CC	cat-Comp|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	7	k2	_	_
9	no	no	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	11	k1	_	_
10	action	action	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-no|chunkType-child|stype-|voicetype-	9	child	_	_
11	is	be	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	8	ccof	_	_
12	possible	possible	adj	JJ	cat-adj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADJP|chunkType-head|stype-|voicetype-	11	k1s	_	_
13	against	against	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	11	vmod	_	_
14	such	such	det	JJ	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	13	child	_	_
15	accusations	accusation	n	NNS	cat-n|gen-m|num-p|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	13	child	_	_
16	.	.	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-against|chunkType-child|stype-|voicetype-	13	child	_	_

1	She	she	P	PRP	cat-P|gen-f|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	2	k1	_	_
2	says	say	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG|chunkType-head|stype-|voicetype-	0	root	_	_
3	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-says|chunkType-child|stype-|voicetype-	2	child	_	_
4	if	if	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP|chunkType-head|stype-|voicetype-	21	vmod	_	_
5	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP2|chunkType-head|stype-|voicetype-	7	k1	_	_
6	complainant	complainant	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the|chunkType-child|stype-|voicetype-	5	child	_	_
7	does	do	v	VBZ	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG2|chunkType-head|stype-|voicetype-	4	ccof	_	_
8	not	not	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-does|chunkType-child|stype-|voicetype-	7	child	_	_
9	disclose	disclose	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-does|chunkType-child|stype-|voicetype-	7	child	_	_
10	her	she	P	PRP$	cat-P|gen-f|num-s|pers-3|case-0|vib-|tam-|chunkId-NP3|chunkType-head|stype-|voicetype-	12	ccof	_	_
11	name	name	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-her|chunkType-child|stype-|voicetype-	10	child	_	_
12	and	and	Conj	CC	cat-Conj|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-CCP2|chunkType-head|stype-|voicetype-	7	k2	_	_
13	address	address	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG3|chunkType-head|stype-|voicetype-	12	ccof	_	_
14	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-address|chunkType-child|stype-|voicetype-	13	child	_	_
15	then	then	D	RB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP|chunkType-head|stype-|voicetype-	2	k2	_	_
16	,	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-then|chunkType-child|stype-|voicetype-	15	child	_	_
17	how	how	D	WRB	cat-D|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-ADVP2|chunkType-head|stype-|voicetype-	21	adv	_	_
18	can	can	v	MD	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG4|chunkType-head|stype-|voicetype-	21	fragof	_	_
19	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP4|chunkType-head|stype-|voicetype-	21	k1	_	_
20	commission	commission	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-the2|chunkType-child|stype-|voicetype-	19	child	_	_
21	help	help	v	VM	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG5|chunkType-head|stype-|voicetype-	15	ccof	_	_
22	solve	solve	v	VB	cat-v|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-VG6|chunkType-head|stype-|voicetype-	21	k2	_	_
23	her	she	P	PRP$	cat-P|gen-f|num-s|pers-3|case-0|vib-|tam-|chunkId-NP5|chunkType-head|stype-|voicetype-	22	k2	_	_
24	problem	problem	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-her2|chunkType-child|stype-|voicetype-	23	child	_	_
25	?	comma	punc	SYM	cat-punc|gen-n|num-s|pers-3|case-0|vib-|tam-|chunkId-her2|chunkType-child|stype-|voicetype-	23	child	_	_

1	A	a	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-NP|chunkType-head|stype-|voicetype-	6	k1	_	_
2	section	section	n	NN	cat-n|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-A|chunkType-child|stype-|voicetype-	1	child	_	_
3	in	in	p	IN	cat-p|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-PP|chunkType-head|stype-|voicetype-	1	nmod	_	_
4	the	the	det	DT	cat-det|gen-m|num-s|pers-3|case-0|vib-|tam-|chunkId-in|chunkType-child|stype-|voicetype-	3	child	_	_
